Country,Year,Overall,Cancer,Tubercolosis,Stroke,Malaria ,Natrual Cause
Pakistan,1990,1030,,,145.2784977,,
Pakistan,1991,1030,,,150.4274525,,
Pakistan,1992,1030,,,151.8976442,,
Pakistan,1993,1030,,,154.0916886,,
Pakistan,1994,1030,,,157.1690247,,
Pakistan,1995,930,,,162.7198942,,
Pakistan,1996,930,,,163.2330413,,
Pakistan,1997,930,,,165.1385246,,
Pakistan,1998,930,,,163.6923525,,
Pakistan,1999,930,,,160.9041249,,
Pakistan,2000,850,,,158.3094961,,
Pakistan,2001,850,,,156.3362095,,
Pakistan,2002,850,,,154.5626171,,
Pakistan,2003,850,,,153.5589026,,
Pakistan,2004,850,,,152.222217,,
Pakistan,2005,790,,,150.8980859,,
Pakistan,2006,790,,,148.59893,,
Pakistan,2007,790,,,146.0532661,,
Pakistan,2008,790,,,144.4328824,,
Pakistan,2009,790,,,142.574064,,
Pakistan,2010,730,,,140.8378727,,
Pakistan,2011,730,,,139.4786388,,
Pakistan,2012,730,,,138.706305,,
Pakistan,2013,730,,,137.8480755,,
Pakistan,2014,730,,,137.3134448,,
Pakistan,2015,700,,,136.0115329,,
Pakistan,2016,700,,,135.0203337,,
Pakistan,2017,700,,,133.7235279,,
Pakistan,2018,700,,,,,
Pakistan,2019,700,,,,,
USA,1990,880,,,,,
USA,1991,880,,,,,
USA,1992,880,,,,,
USA,1993,880,,,,,
USA,1994,880,,,,,
USA,1995,870,,,,,
USA,1996,870,,,,,
USA,1997,870,,,,,
USA,1998,870,,,,,
USA,1999,870,,,,,
USA,2000,850,,,,,
USA,2001,850,,,,,
USA,2002,850,,,,,
USA,2003,850,,,,,
USA,2004,850,,,,,
USA,2005,810,,,,,
USA,2006,810,,,,,
USA,2007,810,,,,,
USA,2008,810,,,,,
USA,2009,810,,,,,
USA,2010,820,,,,,
USA,2011,820,,,,,
USA,2012,820,,,,,
USA,2013,820,,,,,
USA,2014,820,,,,,
USA,2015,850,,,,,
USA,2016,850,,,,,
USA,2017,850,,,,,
USA,2018,850,,,,,
USA,2019,850,,,,,
India,1990,1020,,,,,
India,1991,1020,,,,,
India,1992,1020,,,,,
India,1993,1020,,,,,
India,1994,1020,,,,,
India,1995,910,,,,,
India,1996,910,,,,,
India,1997,910,,,,,
India,1998,910,,,,,
India,1999,910,,,,,
India,2000,840,,,,,
India,2001,840,,,,,
India,2002,840,,,,,
India,2003,840,,,,,
India,2004,840,,,,,
India,2005,780,,,,,
India,2006,780,,,,,
India,2007,780,,,,,
India,2008,780,,,,,
India,2009,780,,,,,
India,2010,730,,,,,
India,2011,730,,,,,
India,2012,730,,,,,
India,2013,730,,,,,
India,2014,730,,,,,
India,2015,720,,,,,
India,2016,720,,,,,
India,2017,720,,,,,
India,2018,720,,,,,
India,2019,720,,,,,
UK,1990,1120,,,,,
UK,1991,1120,,,,,
UK,1992,1120,,,,,
UK,1993,1120,,,,,
UK,1994,1120,,,,,
UK,1995,1090,,,,,
UK,1996,1090,,,,,
UK,1997,1090,,,,,
UK,1998,1090,,,,,
UK,1999,1090,,,,,
UK,2000,1020,,,,,
UK,2001,1020,,,,,
UK,2002,1020,,,,,
UK,2003,1020,,,,,
UK,2004,1020,,,,,
UK,2005,940,,,,,
UK,2006,940,,,,,
UK,2007,940,,,,,
UK,2008,940,,,,,
UK,2009,940,,,,,
UK,2010,900,,,,,
UK,2011,900,,,,,
UK,2012,900,,,,,
UK,2013,900,,,,,
UK,2014,900,,,,,
UK,2015,940,,,,,
UK,2016,940,,,,,
UK,2017,940,,,,,
UK,2018,940,,,,,
UK,2019,940,,,,,
China,1990,670,,,,,
China,1991,670,,,,,
China,1992,670,,,,,
China,1993,670,,,,,
China,1994,670,,,,,
China,1995,670,,,,,
China,1996,670,,,,,
China,1997,670,,,,,
China,1998,670,,,,,
China,1999,670,,,,,
China,2000,660,,,,,
China,2001,660,,,,,
China,2002,660,,,,,
China,2003,660,,,,,
China,2004,660,,,,,
China,2005,680,,,,,
China,2006,680,,,,,
China,2007,680,,,,,
China,2008,680,,,,,
China,2009,680,,,,,
China,2010,700,,,,,
China,2011,700,,,,,
China,2012,700,,,,,
China,2013,700,,,,,
China,2014,700,,,,,
China,2015,710,,,,,
China,2016,710,,,,,
China,2017,710,,,,,
China,2018,710,,,,,
China,2019,710,,,,,
Brazil,1990,670,,,,,
Brazil,1991,670,,,,,
Brazil,1992,670,,,,,
Brazil,1993,670,,,,,
Brazil,1994,670,,,,,
Brazil,1995,630,,,,,
Brazil,1996,630,,,,,
Brazil,1997,630,,,,,
Brazil,1998,630,,,,,
Brazil,1999,630,,,,,
Brazil,2000,610,,,,,
Brazil,2001,610,,,,,
Brazil,2002,610,,,,,
Brazil,2003,610,,,,,
Brazil,2004,610,,,,,
Brazil,2005,600,,,,,
Brazil,2006,600,,,,,
Brazil,2007,600,,,,,
Brazil,2008,600,,,,,
Brazil,2009,600,,,,,
Brazil,2010,610,,,,,
Brazil,2011,610,,,,,
Brazil,2012,610,,,,,
Brazil,2013,610,,,,,
Brazil,2014,610,,,,,
Brazil,2015,640,,,,,
Brazil,2016,640,,,,,
Brazil,2017,640,,,,,
Brazil,2018,640,,,,,
Brazil,2019,640,,,,,
Australia,1990,700,,,,,
Australia,1991,700,,,,,
Australia,1992,700,,,,,
Australia,1993,700,,,,,
Australia,1994,700,,,,,
Australia,1995,690,,,,,
Australia,1996,690,,,,,
Australia,1997,690,,,,,
Australia,1998,690,,,,,
Australia,1999,690,,,,,
Australia,2000,670,,,,,
Australia,2001,670,,,,,
Australia,2002,670,,,,,
Australia,2003,670,,,,,
Australia,2004,670,,,,,
Australia,2005,660,,,,,
Australia,2006,660,,,,,
Australia,2007,660,,,,,
Australia,2008,660,,,,,
Australia,2009,660,,,,,
Australia,2010,650,,,,,
Australia,2011,650,,,,,
Australia,2012,650,,,,,
Australia,2013,650,,,,,
Australia,2014,650,,,,,
Australia,2015,660,,,,,
Australia,2016,660,,,,,
Australia,2017,660,,,,,
Australia,2018,660,,,,,
Australia,2019,660,,,,,
Japan,1990,690,,,,,
Japan,1991,690,,,,,
Japan,1992,690,,,,,
Japan,1993,690,,,,,
Japan,1994,690,,,,,
Japan,1995,740,,,,,
Japan,1996,740,,,,,
Japan,1997,740,,,,,
Japan,1998,740,,,,,
Japan,1999,740,,,,,
Japan,2000,790,,,,,
Japan,2001,790,,,,,
Japan,2002,790,,,,,
Japan,2003,790,,,,,
Japan,2004,790,,,,,
Japan,2005,880,,,,,
Japan,2006,880,,,,,
Japan,2007,880,,,,,
Japan,2008,880,,,,,
Japan,2009,880,,,,,
Japan,2010,980,,,,,
Japan,2011,980,,,,,
Japan,2012,980,,,,,
Japan,2013,980,,,,,
Japan,2014,980,,,,,
Japan,2015,1040,,,,,
Japan,2016,1040,,,,,
Japan,2017,1040,,,,,
Japan,2018,1040,,,,,
Japan,2019,1040,,,,,
France,1990,920,,,,,
France,1991,920,,,,,
France,1992,920,,,,,
France,1993,920,,,,,
France,1994,920,,,,,
France,1995,920,,,,,
France,1996,920,,,,,
France,1997,920,,,,,
France,1998,920,,,,,
France,1999,920,,,,,
France,2000,890,,,,,
France,2001,890,,,,,
France,2002,890,,,,,
France,2003,890,,,,,
France,2004,890,,,,,
France,2005,860,,,,,
France,2006,860,,,,,
France,2007,860,,,,,
France,2008,860,,,,,
France,2009,860,,,,,
France,2010,870,,,,,
France,2011,870,,,,,
France,2012,870,,,,,
France,2013,870,,,,,
France,2014,870,,,,,
France,2015,930,,,,,
France,2016,930,,,,,
France,2017,930,,,,,
France,2018,930,,,,,
France,2019,930,,,,,
Spain,1990,860,,,,,
Spain,1991,860,,,,,
Spain,1992,860,,,,,
Spain,1993,860,,,,,
Spain,1994,860,,,,,
Spain,1995,890,,,,,
Spain,1996,890,,,,,
Spain,1997,890,,,,,
Spain,1998,890,,,,,
Spain,1999,890,,,,,
Spain,2000,880,,,,,
Spain,2001,880,,,,,
Spain,2002,880,,,,,
Spain,2003,880,,,,,
Spain,2004,880,,,,,
Spain,2005,850,,,,,
Spain,2006,850,,,,,
Spain,2007,850,,,,,
Spain,2008,850,,,,,
Spain,2009,850,,,,,
Spain,2010,850,,,,,
Spain,2011,850,,,,,
Spain,2012,850,,,,,
Spain,2013,850,,,,,
Spain,2014,850,,,,,
Spain,2015,900,,,,,
Spain,2016,900,,,,,
Spain,2017,900,,,,,
Spain,2018,900,,,,,
Spain,2019,900,,,,,
